2.979492,0.704102
2.938477,1.374023
2.862305,2.064453
2.756836,2.720703
2.627930,3.342773
2.466797,3.951172
2.288086,4.504883
2.088867,4.997070
1.857422,5.475586
1.623047,5.865234
1.353516,6.234375
1.083984,6.514648
0.805664,6.726562
0.509766,6.883789
0.208008,6.979492
11.912109,6.979492
-0.002930,6.993164
-0.304688,6.952148
-0.606445,6.835938
-0.887695,6.678711
-1.166016,6.432617
-1.432617,6.131836
-1.696289,5.749023
-1.936523,5.332031
-2.147461,4.867188
-2.346680,4.333984
-2.513672,3.787109
-2.674805,3.151367
-2.791992,2.522461
-2.885742,1.859375
-2.950195,1.189453
-2.991211,0.485352
-2.997070,-4.225586
-3.000000,4.013672
-2.979492,-0.704102
-2.938477,-1.374023
-2.862305,-2.064453
-2.756836,-2.720703
-2.627930,-3.342773
-2.466797,-3.951172
-2.288086,-4.504883
-2.088867,-4.997070
-1.857422,-5.475586
-1.623047,-5.865234
-1.353516,-6.234375
-1.083984,-6.514648
-0.805664,-6.726562
-0.509766,-6.883789
-0.208008,-6.979492
-11.912109,-6.979492
0.002930,-6.993164
0.304688,-6.952148
0.606445,-6.835938
0.887695,-6.678711
1.166016,-6.432617
1.432617,-6.131836
1.696289,-5.749023
1.936523,-5.332031
2.147461,-4.867188
2.346680,-4.333984
2.513672,-3.787109
2.674805,-3.151367
2.791992,-2.522461
2.885742,-1.859375
2.950195,-1.189453
2.991211,-0.485352
2.997070,4.225586
3.000000,-4.013672
2.979492,0.704102
2.938477,1.374023
2.862305,2.064453
2.756836,2.720703
2.627930,3.342773
2.466797,3.951172
2.288086,4.504883
2.088867,4.997070
1.857422,5.475586
1.623047,5.865234
1.353516,6.234375
1.083984,6.514648
0.805664,6.726562
0.509766,6.883789
0.208008,6.979492
11.912109,6.979492
